step,loss
0,0.101901
1,0.096908
2,0.092187
3,0.087820
4,0.083803
5,0.080112
6,0.076729
7,0.073635
8,0.070942
9,0.068777
10,0.067085
11,0.065772
12,0.064742
13,0.063885
14,0.063076
15,0.062323
16,0.061652
17,0.061021
18,0.060380
19,0.059635
20,0.058754
21,0.057800
22,0.056853
23,0.055980
24,0.055208
25,0.054514
26,0.053842
27,0.053180
28,0.052459
29,0.051679
30,0.050794
31,0.049857
32,0.048857
33,0.047896
34,0.047019
35,0.046363
36,0.045895
37,0.045498
38,0.045051
39,0.044531
40,0.043976
41,0.043427
42,0.042899
43,0.042392
44,0.041861
45,0.041332
46,0.040849
47,0.040424
48,0.040011
49,0.039568
50,0.039084
51,0.038599
52,0.038144
53,0.037756
54,0.037412
55,0.037107
56,0.036889
57,0.036748
58,0.036606
59,0.036410
60,0.036157
61,0.035879
62,0.035611
63,0.035389
64,0.035239
65,0.035163
66,0.035128
67,0.035094
68,0.035035
69,0.034949
70,0.034841
71,0.034721
72,0.034596
73,0.034473
74,0.034354
75,0.034239
76,0.034127
77,0.034025
78,0.033934
79,0.033850
80,0.033763
81,0.033672
82,0.033584
83,0.033502
84,0.033427
85,0.033358
86,0.033291
87,0.033223
88,0.033150
89,0.033067
90,0.032978
91,0.032888
92,0.032798
93,0.032712
94,0.032628
95,0.032542
96,0.032448
97,0.032345
98,0.032236
99,0.032112
100,0.031961
101,0.031799
102,0.031634
103,0.031456
104,0.031265
105,0.031067
106,0.030875
107,0.030677
108,0.030475
109,0.030296
110,0.030145
111,0.030036
112,0.029982
113,0.029952
114,0.029915
115,0.029861
116,0.029796
117,0.029715
118,0.029627
119,0.029542
120,0.029474
121,0.029428
122,0.029401
123,0.029383
124,0.029365
125,0.029343
126,0.029316
127,0.029287
128,0.029256
129,0.029228
130,0.029206
131,0.029189
132,0.029176
133,0.029164
134,0.029151
135,0.029136
136,0.029117
137,0.029097
138,0.029078
139,0.029060
140,0.029045
141,0.029031
142,0.029019
143,0.029006
144,0.028990
145,0.028974
146,0.028958
147,0.028944
148,0.028930
149,0.028917
150,0.028903
151,0.028889
152,0.028875
153,0.028860
154,0.028846
155,0.028832
156,0.028819
157,0.028806
158,0.028793
159,0.028779
160,0.028765
161,0.028750
162,0.028735
163,0.028721
164,0.028707
165,0.028694
166,0.028680
167,0.028667
168,0.028653
169,0.028640
170,0.028626
171,0.028612
172,0.028599
173,0.028585
174,0.028572
175,0.028558
176,0.028544
177,0.028531
178,0.028517
179,0.028503
180,0.028490
181,0.028476
182,0.028463
183,0.028450
184,0.028437
185,0.028425
186,0.028413
187,0.028401
188,0.028389
189,0.028378
190,0.028367
191,0.028356
192,0.028345
193,0.028335
194,0.028325
195,0.028314
196,0.028304
197,0.028295
198,0.028285
199,0.028276
200,0.028268
201,0.028259
202,0.028251
203,0.028243
204,0.028236
205,0.028228
206,0.028221
207,0.028214
208,0.028207
209,0.028200
210,0.028194
211,0.028187
212,0.028180
213,0.028174
214,0.028167
215,0.028161
216,0.028154
217,0.028148
218,0.028142
219,0.028136
220,0.028130
221,0.028124
222,0.028118
223,0.028113
224,0.028107
225,0.028101
226,0.028095
227,0.028089
228,0.028083
229,0.028077
230,0.028071
231,0.028066
232,0.028060
233,0.028054
234,0.028048
235,0.028042
236,0.028037
237,0.028031
238,0.028026
239,0.028020
240,0.028014
241,0.028009
242,0.028003
243,0.027998
244,0.027992
